,model_name,dataset,atk_name,atk_param,eps,nb_epoch,top1acc,top5acc,UER,label_dist0,label_dist1,label_dist2,label_dist3,label_dist4,label_dist5,label_dist6,label_dist7,label_dist8,label_dist9,tgt_success
58,resnet20_Q2,cifar10,sgd-tgt,8,10,10,0.4915,0.9004,0.5085,0.0325,0.0612,0.0537,0.0592,0.1146,0.0156,0.1821,0.0339,0.3724,0.0748,0.3724
59,resnet20_Q2,cifar10,sgd-tgt,8,12,10,0.3786,0.8623,0.6214,0.0151,0.0351,0.0426,0.0368,0.069,0.0089,0.2291,0.028999999999999998,0.4859,0.0485,0.4859
60,resnet20_Q2,cifar10,sgd-tgt,9,2,10,0.8852,0.9956,0.1148,0.0934,0.0946,0.0952,0.094,0.1103,0.1049,0.1058,0.0909,0.1045,0.1064,0.1064
61,resnet20_Q2,cifar10,sgd-tgt,9,4,10,0.8026,0.9890000000000001,0.1974,0.0743,0.0813,0.0889,0.0927,0.1121,0.0984,0.1267,0.0822,0.0921,0.1513,0.1513
62,resnet20_Q2,cifar10,sgd-tgt,9,6,10,0.6782,0.9690000000000001,0.3218,0.0494,0.0646,0.0858,0.0741,0.1223,0.0687,0.1583,0.0688,0.0646,0.2434,0.2434
63,resnet20_Q2,cifar10,sgd-tgt,9,8,10,0.5189,0.9333,0.4811,0.0242,0.0419,0.0622,0.0521,0.1099,0.0434,0.1582,0.0599,0.0374,0.4108,0.4108
64,resnet20_Q2,cifar10,sgd-tgt,9,10,10,0.4261,0.8939,0.5739000000000001,0.0215,0.0265,0.0389,0.0383,0.0768,0.0235,0.1768,0.0541,0.0485,0.4951,0.4951
65,resnet20_Q2,cifar10,sgd-tgt,9,12,10,0.2758,0.8194,0.7242,0.0082,0.0231,0.0202,0.0128,0.043,0.0064,0.109,0.0223,0.0246,0.7304,0.7304
0,resnet20_Q3,cifar10,sgd-uap,-1,2,10,0.9052,0.9964,0.0948,0.0918,0.0995,0.1034,0.099,0.1022,0.1012,0.1059,0.0939,0.1023,0.1008,
1,resnet20_Q3,cifar10,sgd-uap,-1,4,10,0.8272,0.9894,0.17279999999999995,0.061,0.0929,0.1029,0.1105,0.0982,0.0922,0.1346,0.0904,0.1059,0.1114,
2,resnet20_Q3,cifar10,sgd-uap,-1,6,10,0.6942,0.9572,0.3058,0.040999999999999995,0.1,0.0876,0.192,0.1169,0.0559,0.1162,0.0753,0.0661,0.149,
3,resnet20_Q3,cifar10,sgd-uap,-1,8,10,0.5299,0.8934,0.4701,0.0147,0.1397,0.0447,0.0685,0.0566,0.0507,0.2859,0.0686,0.0576,0.213,
4,resnet20_Q3,cifar10,sgd-uap,-1,10,10,0.4588,0.852,0.5412,0.0172,0.0735,0.0481,0.1737,0.0711,0.0215,0.2138,0.0873,0.0347,0.2591,
5,resnet20_Q3,cifar10,sgd-uap,-1,12,10,0.3473,0.7926,0.6527000000000001,0.0113,0.0649,0.1014,0.0589,0.1093,0.0092,0.1238,0.026000000000000002,0.0134,0.4818,
0,resnet20_Q4,cifar10,sgd-uap,-1,2,10,0.9035,0.9961,0.09650000000000004,0.0915,0.0989,0.0994,0.1041,0.1048,0.0989,0.1045,0.0934,0.1043,0.1002,
1,resnet20_Q4,cifar10,sgd-uap,-1,4,10,0.8442,0.9897,0.15580000000000005,0.0757,0.0933,0.1011,0.1143,0.1059,0.0945,0.1243,0.0842,0.1029,0.1038,
2,resnet20_Q4,cifar10,sgd-uap,-1,6,10,0.6699,0.9551,0.33009999999999995,0.0269,0.0816,0.0661,0.1336,0.0767,0.0829,0.2242,0.0705,0.1319,0.1056,
3,resnet20_Q4,cifar10,sgd-uap,-1,8,10,0.5771,0.9396,0.4229000000000001,0.053,0.0571,0.1641,0.1147,0.1239,0.0448,0.2314,0.0578,0.0543,0.0989,
4,resnet20_Q4,cifar10,sgd-uap,-1,10,10,0.4336,0.851,0.5664,0.0165,0.1889,0.0391,0.076,0.069,0.0254,0.2842,0.0447,0.0375,0.2187,
5,resnet20_Q4,cifar10,sgd-uap,-1,12,10,0.3296,0.7481,0.6704,0.0093,0.2236,0.0119,0.0202,0.1479,0.0049,0.1781,0.032,0.012,0.3601,
